location,age_group,date,value,source,week
DE,00+,2019-05-26,0,ECDC,NA
DE,00+,2019-06-02,0,ECDC,NA
DE,00+,2019-06-09,0,ECDC,NA
DE,00+,2019-06-16,0,ECDC,NA
DE,00+,2019-06-23,0,ECDC,NA
DE,00+,2019-06-30,0,ECDC,NA
DE,00+,2019-07-07,0,ECDC,NA
DE,00+,2019-07-14,0,ECDC,NA
DE,00+,2019-07-21,0,ECDC,NA
DE,00+,2019-07-28,0,ECDC,NA
DE,00+,2019-08-04,0,ECDC,NA
DE,00+,2019-08-11,0,ECDC,NA
DE,00+,2019-08-18,0,ECDC,NA
DE,00+,2019-08-25,0,ECDC,NA
DE,00+,2019-09-01,0,ECDC,NA
DE,00+,2019-09-08,0,ECDC,NA
DE,00+,2019-09-15,0,ECDC,NA
DE,00+,2019-09-22,0,ECDC,NA
DE,00+,2019-10-06,0,ECDC,NA
DE,00+,2019-10-13,0,ECDC,NA
DE,00+,2019-10-20,0,ECDC,NA
DE,00+,2019-10-27,1,ECDC,NA
DE,00+,2019-11-03,0,ECDC,NA
DE,00+,2019-11-10,0,ECDC,NA
DE,00+,2019-11-17,0,ECDC,NA
DE,00+,2019-11-24,3,ECDC,NA
DE,00+,2019-12-01,3,ECDC,NA
DE,00+,2019-12-08,4,ECDC,NA
DE,00+,2019-12-15,3,ECDC,NA
DE,00+,2019-12-22,7,ECDC,NA
DE,00+,2019-12-29,3,ECDC,NA
DE,00+,2020-01-05,5,ECDC,NA
DE,00+,2020-01-12,2,ECDC,NA
DE,00+,2020-01-19,3,ECDC,NA
DE,00+,2020-01-26,14,ECDC,NA
DE,00+,2020-02-02,13,ECDC,NA
DE,00+,2020-02-09,18,ECDC,NA
DE,00+,2020-02-16,15,ECDC,NA
DE,00+,2020-02-23,24,ECDC,NA
DE,00+,2020-03-01,21,ECDC,NA
DE,00+,2020-03-08,17,ECDC,NA
DE,00+,2020-03-15,11,ECDC,NA
DE,00+,2020-03-22,16,ECDC,NA
DE,00+,2020-03-29,8,ECDC,NA
DE,00+,2020-04-05,1,ECDC,NA
DE,00+,2020-04-12,0,ECDC,NA
DE,00+,2020-04-19,2,ECDC,NA
DE,00+,2020-04-26,2,ECDC,NA
DE,00+,2020-05-03,0,ECDC,NA
DE,00+,2020-05-10,1,ECDC,NA
DE,00+,2020-05-17,2,ECDC,NA
DE,00+,2020-05-24,1,ECDC,NA
DE,00+,2020-05-31,0,ECDC,NA
DE,00+,2020-06-07,0,ECDC,NA
DE,00+,2020-06-14,1,ECDC,NA
DE,00+,2020-06-21,0,ECDC,NA
DE,00+,2020-06-28,0,ECDC,NA
DE,00+,2020-07-05,0,ECDC,NA
DE,00+,2020-07-12,0,ECDC,NA
DE,00+,2020-07-19,0,ECDC,NA
DE,00+,2020-07-26,0,ECDC,NA
DE,00+,2020-08-02,0,ECDC,NA
DE,00+,2020-08-09,0,ECDC,NA
DE,00+,2020-08-16,0,ECDC,NA
DE,00+,2020-08-23,0,ECDC,NA
DE,00+,2020-08-30,0,ECDC,NA
DE,00+,2020-09-06,0,ECDC,NA
DE,00+,2020-09-13,0,ECDC,NA
DE,00+,2020-09-20,0,ECDC,NA
DE,00+,2020-10-04,0,ECDC,NA
DE,00+,2020-10-11,0,ECDC,NA
DE,00+,2020-10-18,0,ECDC,NA
DE,00+,2020-10-25,0,ECDC,NA
DE,00+,2020-11-01,0,ECDC,NA
DE,00+,2020-11-08,0,ECDC,NA
DE,00+,2020-11-15,0,ECDC,NA
DE,00+,2020-11-22,0,ECDC,NA
DE,00+,2020-11-29,0,ECDC,NA
DE,00+,2020-12-06,0,ECDC,NA
DE,00+,2020-12-13,0,ECDC,NA
DE,00+,2020-12-20,0,ECDC,NA
DE,00+,2020-12-27,0,ECDC,NA
DE,00+,2021-01-03,0,ECDC,NA
DE,00+,2021-01-10,0,ECDC,NA
DE,00+,2021-01-17,0,ECDC,NA
DE,00+,2021-01-24,0,ECDC,NA
DE,00+,2021-01-31,0,ECDC,NA
DE,00+,2021-02-07,0,ECDC,NA
DE,00+,2021-02-14,0,ECDC,NA
DE,00+,2021-02-21,0,ECDC,NA
DE,00+,2021-02-28,0,ECDC,NA
DE,00+,2021-03-07,2,ECDC,NA
DE,00+,2021-03-14,1,ECDC,NA
DE,00+,2021-03-21,0,ECDC,NA
DE,00+,2021-03-28,0,ECDC,NA
DE,00+,2021-04-04,0,ECDC,NA
DE,00+,2021-04-11,0,ECDC,NA
DE,00+,2021-04-18,0,ECDC,NA
DE,00+,2021-04-25,0,ECDC,NA
DE,00+,2021-05-02,0,ECDC,NA
DE,00+,2021-05-09,2,ECDC,NA
DE,00+,2021-05-16,0,ECDC,NA
DE,00+,2021-05-23,0,ECDC,NA
DE,00+,2021-05-30,2,ECDC,NA
DE,00+,2021-06-06,0,ECDC,NA
DE,00+,2021-06-13,2,ECDC,NA
DE,00+,2021-06-20,1,ECDC,NA
DE,00+,2021-06-27,0,ECDC,NA
DE,00+,2021-07-04,0,ECDC,NA
DE,00+,2021-07-11,0,ECDC,NA
DE,00+,2021-07-18,1,ECDC,NA
DE,00+,2021-07-25,0,ECDC,NA
DE,00+,2021-08-01,4,ECDC,NA
DE,00+,2021-08-08,5,ECDC,NA
DE,00+,2021-08-15,4,ECDC,NA
DE,00+,2021-08-22,7,ECDC,NA
DE,00+,2021-08-29,5,ECDC,NA
DE,00+,2021-09-05,8,ECDC,NA
DE,00+,2021-09-12,25,ECDC,NA
DE,00+,2021-09-19,23,ECDC,NA
DE,00+,2021-09-26,44,ECDC,NA
DE,00+,2021-10-03,44,ECDC,NA
DE,00+,2021-10-10,71,NRZ,40
DE,00+,2021-10-17,64,NRZ,41
DE,00+,2021-10-24,66,NRZ,42
DE,00+,2021-10-31,67,NRZ,43
DE,00+,2021-11-07,64,NRZ,44
DE,00+,2021-11-14,76,NRZ,45
DE,00+,2021-11-21,49,NRZ,46
DE,00+,2021-11-28,48,NRZ,47
DE,00+,2021-12-05,40,NRZ,48
DE,00+,2021-12-12,22,NRZ,49
DE,00+,2021-12-19,24,NRZ,50
DE,00+,2021-12-26,3,NRZ,51
