"stratum","value","week","year","date"
"A05..14",12.1520418256324,20,2019,2019-05-19
"A05..14",23.1595308746644,21,2019,2019-05-26
"A05..14",10.1879327398615,22,2019,2019-06-02
"A05..14",15.204182563233,23,2019,2019-06-09
"A05..14",11.2053129857284,24,2019,2019-06-16
"A05..14",4.14017238943057,25,2019,2019-06-23
"A05..14",12.1520418256324,26,2019,2019-06-30
"A05..14",10.1879327398615,27,2019,2019-07-07
"A05..14",8.15317224812776,28,2019,2019-07-14
"A05..14",6.17493288116435,29,2019,2019-07-21
"A05..14",9.17055249399465,30,2019,2019-07-28
"A05..14",10.1879327398615,31,2019,2019-08-04
"A05..14",6.17493288116435,32,2019,2019-08-11
"A05..14",6.17493288116435,33,2019,2019-08-18
"A05..14",13.1694220714992,34,2019,2019-08-25
"A05..14",13.1694220714992,35,2019,2019-09-01
"A05..14",11.2053129857284,36,2019,2019-09-08
"A05..14",22.1986717535679,37,2019,2019-09-15
"A05..14",18.1998021760633,38,2019,2019-09-22
"A05..14",23.1595308746644,39,2019,2019-09-29
"A05..14",16.1650416843295,40,2019,2019-10-06
"A05..14",18.1998021760633,41,2019,2019-10-13
"A05..14",8.15317224812776,42,2019,2019-10-20
"A05..14",21.181291507701,43,2019,2019-10-27
"A05..14",22.1986717535679,44,2019,2019-11-03
"A05..14",32.1746502755405,45,2019,2019-11-10
"A05..14",25.1942913663982,46,2019,2019-11-17
"A05..14",22.1986717535679,47,2019,2019-11-24
"A05..14",24.1769111205313,48,2019,2019-12-01
"A05..14",22.1986717535679,49,2019,2019-12-08
"A05..14",16.1650416843295,50,2019,2019-12-15
"A05..14",32.1746502755405,51,2019,2019-12-22
"A05..14",33.1920305214074,52,2019,2019-12-29
"A05..14",24.1769111205313,1,2020,2020-01-05
"A05..14",16.1650416843295,2,2020,2020-01-12
"A05..14",19.1465310159672,3,2020,2020-01-19
"A05..14",51.1940087607744,4,2020,2020-01-26
"A05..14",64.1656068955772,5,2020,2020-02-02
"A05..14",73.1807262964533,6,2020,2020-02-09
"A05..14",53.1581178465452,7,2020,2020-02-16
"A05..14",61.1699872827469,8,2020,2020-02-23
"A05..14",65.1829871414441,9,2020,2020-03-01
"A05..14",55.1928783382789,10,2020,2020-03-08
"A05..14",41.2038999576092,11,2020,2020-03-15
"A05..14",25.1942913663982,12,2020,2020-03-22
"A05..14",14.1868023173661,13,2020,2020-03-29
"A05..14",5.15755263529746,14,2020,2020-04-05
"A05..14",6.17493288116435,15,2020,2020-04-12
"A05..14",7.1923131270313,16,2020,2020-04-19
"A05..14",5.15755263529746,17,2020,2020-04-26
"A05..14",5.15755263529746,18,2020,2020-05-03
"A05..14",4.14017238943057,19,2020,2020-05-10
"A05..14",4.14017238943057,20,2020,2020-05-17
"A05..14",4.14017238943057,21,2020,2020-05-24
"A05..14",2.17606330365976,22,2020,2020-05-31
"A05..14",3.19344354952665,23,2020,2020-06-07
"A05..14",3.19344354952665,24,2020,2020-06-14
"A05..14",4.14017238943057,25,2020,2020-06-21
"A05..14",3.19344354952665,26,2020,2020-06-28
"A05..14",9.17055249399465,27,2020,2020-07-05
"A05..14",7.1923131270313,28,2020,2020-07-12
"A05..14",18.1998021760633,29,2020,2020-07-19
"A05..14",8.15317224812776,30,2020,2020-07-26
"A05..14",9.17055249399465,31,2020,2020-08-02
"A05..14",9.17055249399465,32,2020,2020-08-09
"A05..14",10.1879327398615,33,2020,2020-08-16
"A05..14",17.1824219301964,34,2020,2020-08-23
"A05..14",19.1465310159672,35,2020,2020-08-30
"A05..14",23.1595308746644,36,2020,2020-09-06
"A05..14",14.1868023173661,37,2020,2020-09-13
"A05..14",14.1868023173661,38,2020,2020-09-20
"A05..14",17.1824219301964,39,2020,2020-09-27
"A05..14",14.1868023173661,40,2020,2020-10-04
"A05..14",11.2053129857284,41,2020,2020-10-11
"A05..14",10.1879327398615,42,2020,2020-10-18
"A05..14",7.1923131270313,43,2020,2020-10-25
"A05..14",10.1879327398615,44,2020,2020-11-01
"A05..14",4.14017238943057,45,2020,2020-11-08
"A05..14",10.1879327398615,46,2020,2020-11-15
"A05..14",7.1923131270313,47,2020,2020-11-22
"A05..14",7.1923131270313,48,2020,2020-11-29
"A05..14",7.1923131270313,49,2020,2020-12-06
"A05..14",5.15755263529746,50,2020,2020-12-13
"A05..14",6.17493288116435,51,2020,2020-12-20
"A05..14",4.14017238943057,52,2020,2020-12-27
"A05..14",2.17606330365976,53,2020,2021-01-03
"A05..14",5.15755263529746,1,2021,2021-01-10
"A05..14",4.14017238943057,2,2021,2021-01-17
"A05..14",5.15755263529746,3,2021,2021-01-24
"A05..14",3.19344354952665,4,2021,2021-01-31
"A05..14",3.19344354952665,5,2021,2021-02-07
"A05..14",3.19344354952665,6,2021,2021-02-14
"A05..14",2.17606330365976,7,2021,2021-02-21
"A05..14",4.14017238943057,8,2021,2021-02-28
"A05..14",6.17493288116435,9,2021,2021-03-07
"A05..14",3.19344354952665,10,2021,2021-03-14
"A05..14",5.15755263529746,11,2021,2021-03-21
"A05..14",5.15755263529746,12,2021,2021-03-28
"A05..14",8.15317224812776,13,2021,2021-04-04
"A05..14",4.14017238943057,14,2021,2021-04-11
"A05..14",3.19344354952665,15,2021,2021-04-18
"A05..14",6.17493288116435,16,2021,2021-04-25
"A05..14",7.1923131270313,17,2021,2021-05-02
"A05..14",5.15755263529746,18,2021,2021-05-09
"A05..14",1.15868305779287,19,2021,2021-05-16
"A05..14",7.1923131270313,20,2021,2021-05-23
"A05..14",7.1923131270313,21,2021,2021-05-30
"A05..14",6.17493288116435,22,2021,2021-06-06
"A05..14",7.1923131270313,23,2021,2021-06-13
"A05..14",5.15755263529746,24,2021,2021-06-20
"A05..14",8.15317224812776,25,2021,2021-06-27
"A05..14",12.1520418256324,26,2021,2021-07-04
"A05..14",9.17055249399465,27,2021,2021-07-11
"A05..14",11.2053129857284,28,2021,2021-07-18
"A05..14",12.1520418256324,29,2021,2021-07-25
"A05..14",7.1923131270313,30,2021,2021-08-01
"A05..14",13.1694220714992,31,2021,2021-08-08
"A05..14",8.15317224812776,32,2021,2021-08-15
"A05..14",8.15317224812776,33,2021,2021-08-22
"A05..14",9.17055249399465,34,2021,2021-08-29
"A05..14",8.15317224812776,35,2021,2021-09-05
"A05..14",11.2053129857284,36,2021,2021-09-12
"A05..14",14.1868023173661,37,2021,2021-09-19
"A05..14",16.1650416843295,38,2021,2021-09-26
"A05..14",11.2053129857284,39,2021,2021-10-03
"A05..14",21.181291507701,40,2021,2021-10-10
"A05..14",18.1998021760633,41,2021,2021-10-17
"A05..14",21.181291507701,42,2021,2021-10-24
"A05..14",26.2116716122651,43,2021,2021-10-31
"A05..14",35.1702698883708,44,2021,2021-11-07
"A05..14",20.1639112618341,45,2021,2021-11-14
"A05..14",22.1986717535679,46,2021,2021-11-21
"A05..14",22.1986717535679,47,2021,2021-11-28
"A05..14",19.1465310159672,48,2021,2021-12-05
"A05..14",10.1879327398615,49,2021,2021-12-12
"A05..14",15.204182563233,50,2021,2021-12-19
"A05..14",9.17055249399465,51,2021,2021-12-26
"A05..14",8.15317224812776,52,2021,2022-01-02
"A05..14",8.15317224812776,1,2022,2022-01-09
"A05..14",12.1520418256324,2,2022,2022-01-16
"A05..14",17.1824219301964,3,2022,2022-01-23
"A05..14",14.1868023173661,4,2022,2022-01-30
"A05..14",20.1639112618341,5,2022,2022-02-06
"A05..14",10.1879327398615,6,2022,2022-02-13
"A05..14",21.181291507701,7,2022,2022-02-20
"A05..14",15.204182563233,8,2022,2022-02-27
"A05..14",13.1694220714992,9,2022,2022-03-06
"A05..14",12.1520418256324,10,2022,2022-03-13
"A05..14",15.204182563233,11,2022,2022-03-20
"A05..14",14.1868023173661,12,2022,2022-03-27
"A05..14",15.204182563233,13,2022,2022-04-03
"A05..14",24.1769111205313,14,2022,2022-04-10
"A05..14",13.1694220714992,15,2022,2022-04-17
"A05..14",9.17055249399465,16,2022,2022-04-24
"A05..14",17.1824219301964,17,2022,2022-05-01
"A05..14",22.1986717535679,18,2022,2022-05-08
"A05..14",38.1517592200085,19,2022,2022-05-15
"A05..14",14.1868023173661,20,2022,2022-05-22
"A05..14",8.15317224812776,21,2022,2022-05-29
"A05..14",12.1520418256324,22,2022,2022-06-05
"A05..14",11.2053129857284,23,2022,2022-06-12
"A05..14",5.15755263529746,24,2022,2022-06-19
"A15..34",22.1986717535679,40,2018,2018-10-07
"A15..34",19.1465310159672,41,2018,2018-10-14
"A15..34",17.1824219301964,42,2018,2018-10-21
"A15..34",16.1650416843295,43,2018,2018-10-28
"A15..34",17.1824219301964,44,2018,2018-11-04
